routeId,capacity,deliveriesNumber,routeCreationTimestamp
r-shiinc-240937,3,16,"2020-05-05 03:40:49"
r-shiinc-240939,3,14,"2020-05-05 03:40:49"
r-shiinc-240940,3,15,"2020-05-05 03:40:50"
r-shiinc-240941,3,18,"2020-05-05 03:40:50"
r-shiinc-240942,3,17,"2020-05-05 03:40:50"
r-shiinc-240943,4,19,"2020-05-05 03:40:51"
r-shiinc-240944,3,16,"2020-05-05 03:40:51"
r-shiinc-240945,3,2,"2020-05-05 03:42:34"
r-shiinc-240946,5,70,"2020-05-05 03:46:08"
r-shiinc-240947,5,70,"2020-05-05 03:46:11"
r-shiinc-240948,5,76,"2020-05-05 03:46:21"
r-shiinc-240949,5,74,"2020-05-05 03:46:26"
r-shiinc-240950,5,72,"2020-05-05 03:46:29"
r-shiinc-240951,5,69,"2020-05-05 03:46:42"
r-shiinc-240952,5,73,"2020-05-05 03:47:51"
r-shiinc-240953,3,4,"2020-05-05 03:47:59"
r-shiinc-240955,4,63,"2020-05-05 03:48:24"
r-shiinc-240956,4,57,"2020-05-05 03:48:37"
r-shiinc-240957,3,5,"2020-05-05 03:48:47"
r-shiinc-240958,3,8,"2020-05-05 03:48:47"
r-shiinc-240959,3,12,"2020-05-05 03:48:48"
r-shiinc-240960,3,10,"2020-05-05 03:48:48"
r-shiinc-240961,4,67,"2020-05-05 03:49:47"
r-shiinc-240962,4,60,"2020-05-05 03:49:53"
r-shiinc-240963,4,74,"2020-05-05 03:49:54"
r-shiinc-240964,4,63,"2020-05-05 03:50:03"
r-shiinc-240965,4,66,"2020-05-05 03:50:58"
r-shiinc-240967,3,14,"2020-05-05 03:52:15"
r-shiinc-241086,3,19,"2020-05-05 13:22:10"
r-shiinc-241087,3,21,"2020-05-05 13:22:11"
r-shiinc-241088,3,22,"2020-05-05 13:22:14"
r-shiinc-241089,3,24,"2020-05-05 13:30:19"
r-shiinc-241096,3,17,"2020-05-05 13:33:05"
r-shiinc-241099,3,7,"2020-05-05 13:39:51"
r-shiinc-241108,3,11,"2020-05-05 13:42:38"
r-shiinc-241109,3,18,"2020-05-05 13:42:38"
r-shiinc-241112,3,14,"2020-05-05 13:44:31"
r-shiinc-241114,4,17,"2020-05-05 13:46:42"
r-shiinc-241116,3,24,"2020-05-05 13:48:40"
r-shiinc-241117,4,14,"2020-05-05 13:51:00"
r-shiinc-241118,3,22,"2020-05-05 13:52:05"
r-shiinc-241119,3,20,"2020-05-05 13:53:05"
r-shiinc-241120,3,19,"2020-05-05 13:53:36"
r-shiinc-241121,3,20,"2020-05-05 13:56:28"
r-shiinc-241124,4,12,"2020-05-05 14:00:29"
r-shiinc-241125,3,7,"2020-05-05 14:06:31"
r-shiinc-241132,3,27,"2020-05-05 14:17:27"
r-shiinc-241159,3,20,"2020-05-05 14:24:50"
r-shiinc-241258,3,13,"2020-05-05 14:41:35"
r-shiinc-241259,4,18,"2020-05-05 14:41:35"
r-shiinc-241260,3,16,"2020-05-05 14:41:36"
r-shiinc-241269,3,12,"2020-05-05 14:44:29"
r-shiinc-241270,3,16,"2020-05-05 14:44:29"
r-shiinc-241271,3,16,"2020-05-05 14:44:29"
r-shiinc-241273,3,12,"2020-05-05 14:44:29"
r-shiinc-241274,3,8,"2020-05-05 14:45:28"
r-shiinc-241275,3,10,"2020-05-05 14:45:49"
r-shiinc-241279,3,3,"2020-05-05 14:57:30"
r-shiinc-241280,3,3,"2020-05-05 14:57:48"
r-shiinc-241281,3,3,"2020-05-05 14:58:17"
r-shiinc-241282,3,3,"2020-05-05 15:00:12"
r-shiinc-241283,5,4,"2020-05-05 15:01:49"
r-shiinc-241290,3,12,"2020-05-05 15:06:51"
r-shiinc-241297,3,3,"2020-05-05 15:09:07"
r-shiinc-241298,3,3,"2020-05-05 15:12:09"
r-shiinc-241313,4,4,"2020-05-05 15:36:31"
r-shiinc-241327,4,4,"2020-05-05 16:01:34"
r-shiinc-241328,3,3,"2020-05-05 16:01:34"
r-shiinc-241338,3,17,"2020-05-05 16:09:49"
r-shiinc-241340,5,3,"2020-05-05 16:12:30"
r-shiinc-241342,3,19,"2020-05-05 16:14:58"
r-shiinc-241343,3,20,"2020-05-05 16:14:59"
r-shiinc-241344,3,23,"2020-05-05 16:14:59"
r-shiinc-241351,4,10,"2020-05-05 16:22:37"
r-shiinc-241352,3,11,"2020-05-05 16:23:19"
r-shiinc-241354,3,5,"2020-05-05 16:25:17"
r-shiinc-241355,3,5,"2020-05-05 16:26:28"
r-shiinc-241356,3,6,"2020-05-05 16:27:40"
r-shiinc-241357,3,11,"2020-05-05 16:29:57"
r-shiinc-241359,3,8,"2020-05-05 16:31:02"
r-shiinc-241360,3,9,"2020-05-05 16:31:56"
r-shiinc-241364,3,3,"2020-05-05 16:33:09"
r-shiinc-241368,3,18,"2020-05-05 16:34:24"
r-shiinc-241369,3,24,"2020-05-05 16:34:46"
r-shiinc-241370,3,24,"2020-05-05 16:34:46"
r-shiinc-241371,3,24,"2020-05-05 16:34:47"
r-shiinc-241372,3,24,"2020-05-05 16:34:48"
r-shiinc-241379,3,4,"2020-05-05 16:48:21"
r-shiinc-241384,4,25,"2020-05-05 16:54:54"
r-shiinc-241385,4,25,"2020-05-05 16:54:54"
r-shiinc-241390,5,17,"2020-05-05 17:02:32"
r-shiinc-241391,4,19,"2020-05-05 17:02:32"
r-shiinc-241392,4,23,"2020-05-05 17:02:33"
r-shiinc-241393,4,20,"2020-05-05 17:02:35"
r-shiinc-241394,3,21,"2020-05-05 17:02:35"
r-shiinc-241411,3,12,"2020-05-05 17:33:38"
r-shiinc-241485,3,9,"2020-05-05 17:49:19"
r-shiinc-241510,3,2,"2020-05-05 18:08:56"
r-shiinc-241528,3,3,"2020-05-05 18:36:21"
r-shiinc-241534,3,6,"2020-05-05 18:38:27"
r-shiinc-241535,3,7,"2020-05-05 18:38:28"
r-shiinc-241536,3,7,"2020-05-05 18:38:28"
r-shiinc-241537,3,10,"2020-05-05 18:38:29"
r-shiinc-241553,3,2,"2020-05-05 18:49:21"
r-shiinc-241554,3,16,"2020-05-05 18:50:38"
r-shiinc-241555,3,17,"2020-05-05 18:50:39"
r-shiinc-241556,3,17,"2020-05-05 18:50:40"
r-shiinc-241557,4,18,"2020-05-05 18:50:40"
r-shiinc-241558,4,17,"2020-05-05 18:50:40"
r-shiinc-241559,4,17,"2020-05-05 18:50:41"
r-shiinc-241563,3,2,"2020-05-05 19:03:50"
r-shiinc-241568,4,2,"2020-05-05 19:16:28"
r-shiinc-241591,3,10,"2020-05-05 19:39:19"
r-shiinc-241596,3,10,"2020-05-05 19:50:27"
r-shiinc-241598,3,11,"2020-05-05 19:58:55"
r-shiinc-241599,3,3,"2020-05-05 20:02:09"
r-shiinc-241611,3,17,"2020-05-05 20:18:35"
r-shiinc-241612,3,19,"2020-05-05 20:18:37"
r-shiinc-241613,3,16,"2020-05-05 20:18:37"
r-shiinc-241614,3,18,"2020-05-05 20:18:37"
r-shiinc-241615,3,18,"2020-05-05 20:18:38"
r-shiinc-241616,3,17,"2020-05-05 20:18:38"
r-shiinc-241618,4,18,"2020-05-05 20:20:01"
r-shiinc-241632,4,17,"2020-05-05 20:38:26"
r-shiinc-241635,4,19,"2020-05-05 20:45:47"
r-shiinc-241639,4,18,"2020-05-05 21:23:37"
r-shiinc-241641,3,19,"2020-05-05 21:43:16"
r-shiinc-241642,3,22,"2020-05-05 21:43:19"
r-shiinc-241643,3,22,"2020-05-05 21:43:20"
r-shiinc-241644,3,23,"2020-05-05 21:43:20"
r-shiinc-241645,3,31,"2020-05-05 21:43:22"
r-shiinc-241646,3,23,"2020-05-05 21:43:22"
r-shiinc-241647,3,28,"2020-05-05 21:43:24"
r-shiinc-241657,4,34,"2020-05-05 22:31:57"
r-shiinc-241658,4,31,"2020-05-05 22:31:59"
r-shiinc-241659,4,33,"2020-05-05 22:31:59"
r-shiinc-241660,4,33,"2020-05-05 22:32:02"
r-shiinc-241661,4,31,"2020-05-05 22:32:04"
r-shiinc-241662,4,36,"2020-05-05 22:32:05"
r-shiinc-241663,4,30,"2020-05-05 22:32:07"
r-shiinc-241664,4,35,"2020-05-05 22:32:09"
r-shiinc-241683,3,2,"2020-05-05 23:03:08"
r-shiinc-241698,3,16,"2020-05-05 23:04:58"
r-shiinc-241759,3,9,"2020-05-05 23:09:21"
r-shiinc-241760,3,10,"2020-05-05 23:09:21"
r-shiinc-241761,3,14,"2020-05-05 23:09:22"
r-shiinc-241764,3,14,"2020-05-05 23:18:16"
r-shiinc-241825,5,58,"2020-05-06 00:57:20"
r-shiinc-241826,4,47,"2020-05-06 00:59:05"
